编号,下注点A,下注类别,单点下注额S,组件筹码数,总下注额,基础赔率R,开奖结果B,覆盖/组件命中,幸运倍数L,奖励倍数G,是否命中,派彩口径不含本金,总返还口径含本金,现金净额,核对说明,覆盖数字
GOR-0001-00,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,0,是,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,命中,命中普通: S×20；命中彩票数字: S×L；命中奖励数字: S×G；未命中: 0,命中普通: S×(20+1)；命中彩票数字: S×(L+1)；命中奖励数字: S×(G+1),命中普通: +S×20；命中彩票数字: +S×L；命中奖励数字: +S×G,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-01,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,1,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-02,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,2,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-03,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,3,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-04,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,4,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-05,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,5,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-06,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,6,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-07,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,7,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-08,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,8,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
GOR-0001-09,直注-0,直注,S,1,S×1,20:1 / 幸运或奖励实际倍数,9,否,L=50-250；翻倍器后最高2500；无则N/A,G<=9999/10000需按PP实测确认；无则N/A,未命中,0,0,-S,R=20；若开奖结果为幸运数字且直注命中，用实际幸运倍数L替代；若为奖励数字且触发奖励局，用奖励局总倍数G替代,0
